,0,1,2,3,4
CLDN4,-0.018416464,-0.063967474,-0.037578218,0.0066464148,0.005853042
METRN,0.0005384835,-0.051993858,-0.026543634,0.009256499,0.006777203
SNHG25,-0.005461241,-0.051649027,-0.02306846,0.0010810748,0.0061726253
COX5B,-0.013929282,-0.04443723,-0.027758667,-0.00056497107,0.016318126
EIF3H,-0.016116785,-0.09047255,-0.038243484,0.017565418,-0.011663167
OAZ1,-0.036555942,-0.03565266,-0.02606559,-0.01585715,0.029343225
TMBIM6,-0.020590326,-0.049800877,-0.025725154,-0.009465141,0.0109473625
COX4I1,-0.022642033,-0.05747942,-0.031740565,0.01150909,0.017796887
NDUFB2,-0.0137056885,-0.039678074,-0.01128646,-0.012096474,0.014813546
COL6A1,-0.008794283,-0.039974704,-0.011669055,-0.01049153,0.012082062
DYNLL1,-0.017633248,-0.046525754,-0.0147526,0.0230957,0.033378318
COX8A,0.0056366427,-0.050194148,-0.02124594,-0.0006331858,-0.00017657349
CTSB,-0.0116126295,-0.060512986,-0.026815983,0.0023398115,0.0029677204
ATP5MD,-0.01561098,-0.055220075,-0.02143412,0.0088264095,0.014771226
COX6B1,-0.031836737,-0.051113475,-0.025952227,-0.01833982,0.010979773
PYDC1,-0.008888038,-0.026256494,-0.015546009,-0.010500894,0.024240818
EZR,-0.0073008803,-0.028227214,0.0003852905,-0.020246781,0.016298082
ATP5MF,0.031636838,-0.062963724,-0.023008572,0.012274554,-0.019509917
SKP1,-0.012033491,-0.0473137,-0.015509357,-0.010010247,0.007550287
TIMP3,0.008848777,-0.052469227,-0.02772988,0.007827842,0.00065583026
HNRNPA2B1,-0.004730917,-0.03505853,-0.007443058,-0.0126786195,0.0129132215
S100A9,-0.011901927,-0.031943046,-0.002954385,-0.019551266,0.015813626
TM4SF1,-0.005888899,-0.04483663,-0.007033772,0.013964441,0.022726916
TACSTD2,-0.003468364,-0.038717717,-0.020099875,-0.0059407377,0.012110898
RHOA,-0.008406883,-0.0438667,-0.022099003,-0.0019772167,0.013254277
HSPA8,-0.00037598933,-0.03589662,-0.018324506,-0.009376045,0.010940403
MLPH,-0.008197031,-0.03916364,-0.01591712,0.0046675177,0.021950807
LGALS3,0.018595433,-0.05047557,-0.02688218,0.023750491,0.0064144046
ANXA2,0.005741891,-0.070413604,-0.03250982,0.022610769,-0.004012243
NDUFB1,-0.01085003,-0.04228156,-0.011131697,-0.010811027,0.011153366
FASN,-0.012121214,-0.048146103,-0.032539602,-0.000661447,0.012074735
DDX5,-0.0069857854,-0.051127523,-0.02754883,-0.0026551967,0.0044170665
GUK1,0.0014663847,-0.043356515,-0.011323641,0.0022879143,0.01091948
RPL36AL,0.013951179,-0.08853337,-0.053140827,0.034344178,-0.0191671
ARF1,-0.024480423,-0.05940447,-0.031939846,0.008046928,0.015426975
MMP11,-0.0008424299,-0.053689457,-0.024641007,0.014409908,0.009651457
COX7A2,0.0046274164,-0.05331861,-0.03156963,0.011413138,0.0044890223
CAPN2,-0.011446121,-0.047491606,-0.026489709,-0.0002860024,0.012514306
CALR,-0.0023758903,-0.040646754,-0.02143989,0.001242014,0.014352295
ATP5MG,-0.00733279,-0.04188895,-0.012442509,-0.008279141,0.011149625
NDUFA13,-0.018579397,-0.038138192,-0.035474215,0.009661035,0.031211423
NAA38,0.0044206576,-0.062709324,-0.03268293,0.020395532,0.0021201884
JTB,-0.017411144,-0.07752298,-0.03415662,0.030198716,0.008727737
HNRNPA1,-0.010511338,-0.04054866,-0.01725329,-0.007706228,0.014678019
MGST3,-0.004173198,-0.032386202,-0.0026498446,-0.0027313002,0.021482848
POSTN,-0.020413516,-0.046319935,-0.033082873,-0.005308886,0.015709741
C19orf33,-0.009880943,-0.04035454,-0.018172413,0.004529655,0.02194266
EEF2,0.0073332195,-0.019166972,-0.01675734,-0.008622057,0.021414228
HLA-A,-0.00994857,-0.050049998,-0.028810708,0.0059597227,0.013100035
HLA-B,-0.011827529,-0.045279868,-0.021617927,-0.0069990894,0.011187422
GLUL,-0.005742157,-0.03705719,-0.01841595,-0.0050621983,0.015889497
SELENOM,-0.0034316408,-0.07068884,-0.0390338,0.021555599,4.1862327e-06
P4HB,-0.0042418796,-0.0534854,-0.026819792,0.0037090264,0.0051766615
MTRNR2L12,0.004676461,-0.068911344,-0.032558642,0.03417742,0.005282174
RPL17,-0.0027311747,-0.0384953,-0.01416248,-0.008865071,0.011317376
LMNA,-0.019311529,-0.06964008,-0.042004768,0.0042126887,-0.00017011327
MGST1,0.003065788,-0.029635362,-0.015058425,-0.012886188,0.011875701
SRP14,-0.005028039,-0.04420926,-0.025043726,-0.00037118915,0.011690546
APOE,-0.01243101,-0.028649814,-0.015777964,-0.016857514,0.020253206
STARD10,-0.0072289854,-0.044894554,-0.015450358,0.0012547132,0.014163961
NPW,-0.0029835722,-0.035117537,-0.00952793,-2.1059182e-05,0.0201795
SNRPD2,0.0041434,-0.035280526,-0.020997526,0.00042901252,0.014816913
LY6E,-0.006914767,-0.036432974,-0.027499517,-0.0021154368,0.018370235
HLA-C,-0.0059511308,-0.038554784,-0.015239169,0.0023362206,0.018920984
HSPA1A,-0.0033576712,-0.03771779,-0.022403754,-0.0017982273,0.015488067
SNRPE,-0.012606075,-0.021887798,-0.019157074,-0.01992814,0.023986926
CD81,-0.033783164,-0.04084895,-0.037308905,-0.0074848835,0.027095875
MAOB,0.010678176,-0.042638127,-0.02990008,0.010632907,0.010048762
CRIP2,-0.0063865436,-0.038445342,-0.0214441,-0.0052354047,0.015092563
CD151,-0.0017624823,-0.039960723,-0.023548476,0.0062862826,0.01745224
GATA3,0.0028410163,-0.0630644,-0.020655857,0.025462579,0.006847271
MZT2B,0.001021831,-0.06614158,-0.027105572,0.01746398,-0.00013035056
NDUFA3,-0.016551692,-0.062076245,-0.0393752,0.007407019,0.0070882346
SLC25A6,-0.009700101,-0.031517226,-0.013850008,-0.0022674527,0.025702497
IGFBP7,-0.008212369,-0.051677227,-0.021786766,0.009112791,0.013436923
UQCR10,-0.009794694,-0.042514015,-0.016277418,0.0020492463,0.018484052
TUBA1B,-0.026699817,-0.032319564,-0.017854504,-0.010359843,0.029917799
VMP1,-0.0016157216,-0.062658876,-0.030707566,0.03754529,0.01700076
PCBP2,0.003491735,-0.037611846,-0.024234157,-0.0015988763,0.011360338
DCXR,-0.00833546,-0.04498185,-0.02468225,0.0049199522,0.016513033
REEP5,-0.0074508106,-0.033324625,-0.016376218,-0.0070814714,0.019370375
LDHA,-0.024381194,-0.034761164,-0.035136733,0.009197617,0.03706953
SEC61G,-4.4908666e-05,-0.0426975,-0.021394374,0.00454978,0.013242616
PKM,-0.010184586,-0.031012828,-0.018186437,-0.008623293,0.021583367
RPS17,-0.008728203,-0.04431373,-0.02095934,-0.0011592744,0.013888684
CIRBP,-0.024258882,-0.05571953,-0.03170149,0.0108496845,0.020103564
CD46,-0.0035520105,-0.025189709,-0.018382868,0.009645398,0.03434657
C12orf57,-0.0045949966,-0.04965334,-0.02157205,-0.00079699,0.00636238
IGFBP5,0.014598263,-0.039225798,-0.01338362,0.008531918,0.010210309
APP,-0.009438635,-0.034524795,-0.028260654,-0.012301698,0.015241567
PTMS,-0.0031519888,-0.028483873,-0.019570354,-0.010299401,0.018249461
PGK1,0.0042041973,-0.023557832,-0.02055788,-0.0043394878,0.021845756
HSPE1,0.0015488463,-0.03856351,-0.012327238,-0.0044807866,0.010918139
NDUFB11,0.0020728773,-0.032189313,-0.01218154,-0.004848274,0.01585981
MRPS21,-0.02187666,-0.05833814,-0.028528793,0.0032851028,0.012161912
SPDEF,-0.00022063628,-0.039360836,-0.025714774,0.001823734,0.014176795
BGN,-0.0025220634,-0.050470877,-0.03036577,0.027174467,0.021966035
SPP1,0.0044087633,-0.046555545,-0.017240947,0.01072552,0.01099799
NDUFC1,0.005036333,-0.041408736,-0.029353028,0.014861073,0.017459136
CD164,0.009803135,-0.031371236,-0.01775185,0.00017287895,0.014252466
JUP,-0.0032651213,-0.037187807,-0.026484111,0.0050053922,0.020256728
ATOX1,0.0022205408,-0.0356194,-0.0075684395,-0.0021935755,0.014855315
HSP90B1,-0.0024038642,-0.0579168,-0.036182694,0.034613952,0.019479115
NDUFB7,-0.0003096933,-0.043705065,-0.018528933,0.0075356606,0.0146371275
ATP5ME,-0.0063606333,-0.03955387,-0.011213989,0.01886837,0.029901015
COX7B,-0.001515522,-0.031995166,-0.017285086,-0.0063508507,0.0170696
NDUFA2,0.005736172,-0.036736768,-0.015037589,0.011924688,0.019771298
ANAPC11,-0.0051427027,-0.046009425,-0.02616913,0.007356119,0.015176923
FMOD,0.010069363,-0.032274254,-0.03565795,-0.009973602,0.005745226
NDUFB4,-0.010093687,-0.026124641,-0.004461226,-0.005157196,0.029305398
MT-ND5,0.006918932,-0.020074643,-0.024895895,-0.0023576485,0.024190372
NME3,-0.0148678,-0.051549878,-0.022692911,0.0032346505,0.0137596615
HMGN1,-0.008915717,-0.028072275,-0.032711886,0.0009401281,0.028324783
TXNIP,0.007839565,-0.02232717,-0.010110586,-0.006039861,0.020163693
TRMT112,0.007521793,-0.03808127,-0.012761895,0.007423697,0.01496297
COPS9,0.018424371,-0.030800352,-0.01590769,0.01308662,0.017679786
VAMP8,-0.0020885456,-0.033201613,-0.013941114,-0.0076008486,0.01577913
IFITM3,0.020639285,-0.034687366,-0.009883542,0.011612342,0.012637294
SEM1,0.0099206325,-0.03268212,-0.022182997,0.0060217464,0.016844753
PRSS8,-0.0027955684,-0.040630188,-0.029084636,-0.0079905735,0.008471705
CSTB,0.02512866,-0.01946844,-0.0016386376,0.00073830254,0.017200932
ZG16B,-0.0068454607,-0.026578793,-0.009848327,-0.0049541052,0.026995104
SELENBP1,0.012733904,-0.034057647,-0.020655707,-0.0024877395,0.008497627
NDUFC2,0.011450971,-0.037218362,0.0005845754,-0.008333881,0.004322478
